vehicleId: 1; start (870;100); startTime: 59522; now (420;100); timecount: 59977; boxId: B124, ;PU
vehicleId: 0; start (420;100); startTime: 59896; now (870;100); timecount: 60351; boxId: B125, ;PL
vehicleId: 1; start (420;100); startTime: 59977; now (10;100); timecount: 60392; boxId: B124, ;PL
vehicleId: 0; start (870;100); startTime: 60352; now (320;100); timecount: 60907; boxId: B86, B85, ;PU
vehicleId: 1; start (10;100); startTime: 60392; now (320;100); timecount: 60907; boxId: B84, ;PU
vehicleId: 0; start (320;100); startTime: 60907; now (420;100); timecount: 61012; boxId: B86, B85, ;PL
vehicleId: 1; start (320;100); startTime: 60907; now (0;100); timecount: 61232; boxId: B84, ;PL
vehicleId: 0; start (420;100); startTime: 61013; now (1040;100); timecount: 61638; boxId: B375, B374, ;PU
vehicleId: 1; start (0;100); startTime: 61232; now (1040;100); timecount: 62277; boxId: B373, ;PU
vehicleId: 0; start (1040;100); startTime: 61638; now (320;100); timecount: 62363; boxId: B375, B374, ;PL
vehicleId: 0; start (320;100); startTime: 62364; now (830;100); timecount: 62879; boxId: B291, ;PU
vehicleId: 0; start (830;100); startTime: 62879; now (720;100); timecount: 62994; boxId: B291, ;PL
vehicleId: 0; start (720;100); startTime: 62994; now (830;100); timecount: 63109; boxId: B290, ;PU
vehicleId: 1; start (1040;100); startTime: 62277; now (0;100); timecount: 63322; boxId: B373, ;PL
vehicleId: 1; start (0;100); startTime: 63322; now (550;100); timecount: 63877; boxId: B179, ;PU
vehicleId: 0; start (830;100); startTime: 63109; now (0;100); timecount: 63944; boxId: B290, ;PL
vehicleId: 1; start (550;100); startTime: 63877; now (10;100); timecount: 64422; boxId: B179, ;PL
vehicleId: 0; start (0;100); startTime: 63945; now (910;100); timecount: 64860; boxId: B323, B322, ;PU
vehicleId: 0; start (910;100); startTime: 64860; now (880;100); timecount: 64895; boxId: B323, B322, ;PL
vehicleId: 1; start (10;100); startTime: 64422; now (910;100); timecount: 65327; boxId: B321, ;PU
vehicleId: 0; start (880;100); startTime: 64895; now (910;100); timecount: 65328; boxId: B320, ;PU
vehicleId: 1; start (910;100); startTime: 65327; now (880;100); timecount: 65362; boxId: B321, ;PL
vehicleId: 1; start (880;100); startTime: 65363; now (310;100); timecount: 65938; boxId: B81, ;PU
vehicleId: 0; start (910;100); startTime: 65328; now (10;100); timecount: 66233; boxId: B320, ;PL
vehicleId: 0; start (10;100); startTime: 66233; now (310;100); timecount: 66538; boxId: B80, ;PU
vehicleId: 1; start (310;100); startTime: 65938; now (910;100); timecount: 66543; boxId: B81, ;PL
vehicleId: 1; start (910;100); startTime: 66544; now (820;100); timecount: 66639; boxId: B287, B286, ;PU
vehicleId: 0; start (310;100); startTime: 66538; now (10;100); timecount: 66843; boxId: B80, ;PL
vehicleId: 1; start (820;100); startTime: 66639; now (310;100); timecount: 67154; boxId: B287, B286, ;PL
vehicleId: 0; start (10;100); startTime: 66843; now (820;100); timecount: 67658; boxId: B285, ;PU
vehicleId: 1; start (310;100); startTime: 67154; now (820;100); timecount: 67669; boxId: B284, ;PU
vehicleId: 0; start (820;100); startTime: 67658; now (310;100); timecount: 68173; boxId: B285, ;PL
vehicleId: 1; start (820;100); startTime: 67669; now (10;100); timecount: 68484; boxId: B284, ;PL
vehicleId: 0; start (310;100); startTime: 68174; now (740;100); timecount: 68609; boxId: B255, B254, ;PU
